CID,Industry,Topic,Metric,Code,Page,Heading or Fragment,Value,Unit,SASB Unit of Measurement,Complete
Malakkof Humanis,Finance,,,FN-IN-410a.2,16,"1.4.3. L’implémentation progressive d’une évaluation ESG dans lesinvestissements immobiliersFin 2022, une évaluation ESG a été réalisée sur les deux principaux fonds immobiliersdu groupe, qui représentent 97 % de la valeur. Cette étude, basée sur les donnéescommuniquées par MSCI, permet d’avoir un premier niveau d’analyse. A ce stade, ils’agit uniquement d’estimations réalisées en fonction de caractéristiques géographiqueset physiques des bâtiments. L’objectif par la suite sera de lancer une collecte desdonnées réelles, a?n d’avoir un niveau d’évaluation plus granulaire et d’identi?er les axesd’amélioration a?érents.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410b.2,17,"Les Principes pour l’Investissement Responsable (PRI) ont été lancés par les Nations-Uniesen 2006. Il s’agit d’un engagement volontaire pris par les acteurs ?nanciers sur la prise encompte des aspects extra-?nanciers. Malako? Humanis est membre des Principes pourl’Investissement Responsable. A ce titre, le groupe s’engage à intégrer les enjeux environ-nementaux, sociaux et de gouvernance (ESG) dans ses investissements, à sensibiliser sesparties-prenantes, et à rendre compte des démarches d’amélioration mises en œuvre.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,"Transparent
Information &
Fair Advice for
Customers","Description of approach to informing
customers about products",FN-IN-270a.4,17,"1.7. La communication auprès des clientsLes grandes caractéristiques de la politique ISR du Groupe ?gurent sur le site internet deMalako? Humanis, dans la rubrique « nos engagements environnementaux ». Elles sontprécisées dans les documents de reporting RSE (DPEF) et dans le rapport ESG – Climat.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410a.2,18,"2. Moyens internes pour contribuer à la transition2.1. Les ressources internesUn pôle d’expertise ISR a été créé au sein de la Direction des Investissements de Malako?Humanis. Fin 2022, la direction des investissements dénombrait ainsi 2,5 ETP dédiés à lagestion des enjeux de durabilité. Pour suivre et piloter les données ESG, le pôle d’expertisea désormais un accès direct aux évaluations réalisées par des agences de notationextra-?nancière, mentionnées ci-dessous.Le suivi des objectifs d’investissement responsable est assuré par un comité ISRopérationnel interne, ainsi que par des comités ISR mensuels ou trimestriels avec lessociétés de gestion d’actifs mandatées par le Groupe.Pour l’exercice de modélisation de la trajectoire de décarbonation des investissements,préalable à la dé?nition de nouveaux objectifs intermédiaires, les équipes ont étéaccompagnées par des experts externes.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410a.2,18,"2.2. L’accès à des données ESGA?n de mettre en place un suivi approfondi et homogène des enjeux ESG - notammentclimatiques - sur tous les actifs cotés du groupe, Malako? Humanis s’est doté de nouvellesdonnées produites par di?érentes agences de notation extra-?nancière. La direction desinvestissements dispose désormais des canaux d’information suivants, lui permettant demonitorer directement une batterie d’indicateurs ESG :Indicateurs ESG et climat : MSCI ESG ResearchMSCI ESG Research fournit des indicateurs portant sur la gouvernance, l’environnementet les pratiques sociales des entreprises, ainsi que sur les controverses auxquelles ellespeuvent être confrontées. Des données spéci?ques évaluent l’empreinte carbone, lastratégie climatique et l’exposition des entreprises à des activités liées aux énergiesfossiles. Ce corpus d’informations est présenté sous formes d’indicateurs quantitatifs ouqualitatifs, qui sont utilisés pour évaluer le pro?l de durabilité des entreprises, ainsi queleur politique de décarbonation.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410a.2,18,"Indicateurs climat et biodiversité : Carbon4 FinanceCarbon4 Finance fournit des données liées au climat et à la biodiversité, a?n d’évaluer les risques de transition, les risques physiques, ainsi que les pertes en biodiversité.Ces données sont notamment utilisées pour calculer l’empreinte carbone desinvestissements, identi?er les investissements les plus carbo-intensifs, et établir avec lesgérants des objectifs de réductions des émissions de CO2 des fonds dédiés.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410a.2,18,"Indicateurs de mesure des principales incidences négatives et de l’alignementtaxonomique : SustainalyticsA?n de répondre à la réglementation européenne portant sur la publicationd’informations extra-?nancières sur les investissements (SFDR : « Sustainable FinanceDisclosure Regulation »), Malako? Humanis a sélectionné la méthode développée parSustainalytics. Une évaluation est ainsi réalisée pour calculer les principales incidencesnégatives des portefeuilles, et pour dé?nir la part des investissements alignée avecla taxonomie européenne. Les résultats obtenus sur les portefeuilles, comparés à leurindice de référence, ?gurent en annexe de ce document.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410a.2,22,"3.5. Un engagement de tous les collaborateurs du GroupeUn Comité RSE, composé de collaborateurs issus des di?érentes activités du Groupe, se réunittous les deux mois pour traiter de façon transversale des enjeux de durabilité de Malako?Humanis, aussi bien dans ses opérations internes que dans sa politique d’investissement.Cette approche permet d’intégrer les enjeux ESG des investissements dans uneperspective plus globale d’impact des activités du Groupe et de mettre en place desindicateurs de suivi commun.En 2022, le groupe a intégré des critères RSE pour le calcul de l’intéressement, àhauteur de 6%. Le premier critère était la réalisation d’un e-learning sur les enjeux RSEdu groupe (3%), le second critère était la réalisation d’un e-learning sur la prévention del’absentéisme, à destination des managers (3%).",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410a.2,23,"4 .1. Auprès des gérantsEn amont, les critères de sélectivité ESG sont formalisés dans le cadre du cahier descharges des fonds dédiés : ils sont intégrés dans leurs prospectus qui sont régulièrementréactualisés, a?n de prendre en compte les évolutions de la politique d’investissementresponsable. La politique de vote de Malako? Humanis fait également l’objet de réunionsdédiées pour sensibiliser les gérants aux spéci?cités des critères de vote qui ont étédé?nis par le groupe. La stratégie climat des entreprises fait désormais partie de cettepolitique de vote.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410a.2,23,"Au niveau opérationnel, la mise en œuvre de la politique d’investissement responsablede Malako? Humanis implique nécessairement un dialogue régulier avec les gérants. Lesévolutions en matière d’éligibilité, de sélection des indicateurs ainsi que leur intégrationdans les outils de gestion font l’objet d’échanges. A cet e?et, des points ont lieu tous lesmois ou tous les deux mois avec les principaux gérants. Une sensibilisation a été initiée?n 2022 sur les nouveaux seuils de sélectivités ?xés dans les politiques sectorielles etnormatives (charbon, énergies fossiles non conventionnelles, tabac, paradis ?scaux).",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410a.2,23,"Dans le cadre de l’exercice de modélisation de la trajectoire climat des portefeuilles,des « ateliers climat » ont été organisés avec les principaux gérants. Les méthodesactuellement utilisées par les gérants ont été recueillies ; le choix des indicateurs et despérimètres d’analyse ont également fait l’objet d’un dialogue a?n d’identi?er les modesopératoires les plus pertinents pour s’assurer de la mise en œuvre opérationnelle desambitions de décarbonation du groupe.En?n, la dynamique de labellisation implémentée par Malako? Humanis fait l’objetd’objectifs d’extension des demandes d’audit pour l’obtention du label ISR, sur les actifscotés ainsi que sur l’immobilier.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410c.3,25,"Dans la nouvelle estimation réalisée par Carbon4 Finance, la part fossile du portefeuilleanalysé s’élève à 9 % pour le périmètre restreint constitué uniquement des entreprises cotées(actions et obligations hors obligations vertes), et 4% du total des actifs cotés (estimation).",9,%,Percentage %,TRUE
Malakkof Humanis,Finance,,,FN-IN-410c.3,25,"En utilisant l’outil d’évaluation développé par Sustainalytics, l’exposition à des entreprisesopérant dans le secteur des combustibles fossiles est évaluée à 6,7%.",6.7,%,Percentage %,FALSE
Malakkof Humanis,Finance,,,FN-IN-410c.3,25,"Cette analyse a été e?ectuée sur 26,5 milliards d’euros d’encours. Il s’agit des actifs cotésfaisant l’objet d’une évaluation par Carbon4 Finance. Le taux de couverture de cesencours est de 97,49%.",97.49,%,Percentage %,TRUE
Malakkof Humanis,Finance,,,FN-IN-410c.4,25,"Part fossile du portefeuille consolidé, par rapport à l’indice de référenceLa part fossile (évaluée selon des approches « bottom-up » et statistique) est calculéepour les activités suivantes liées aux énergies fossiles :Part des recettes liées à l’ensemble des activités de la chaîne de valeur du pétrole etdu gaz (production, transport [oléoduc, gazoduc, méthanier], commerce, ra?nage,stockage, approvisionnement) ;Part des recettes générées par toute activité primaire liée au charbon (extraction,transport, commerce) ;Part des recettes liées à la vente d’équipements pour l’industrie des combustiblesfossiles (extraction, ra?nage, transport) ;Part des recettes liées à la production d’électricité à partir de ressources fossiles (gaz,pétrole ou charbon) ;Part des recettes liées au transport de ressources fossiles par les transporteursmaritimes et ferroviaires.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410c.4,26,"La part brune (calculée selon une approche « bottom-up » uniquement) est calculée pourles activités suivantes liées au charbon :Part de l’électricité produite à partir de sources de charbon par rapport au totald’électricité produit ;Part des recettes générées par toute activité primaire9 liée au charbon (extraction,transport, commerce) ;Part des recettes des ventes d’équipements pour l’extraction et le traitement du charbon ;Part des recettes provenant de la vente de centrales électriques au charbon oud’équipements pour centrales électriques au charbon.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410c.3,26,"La part brune du portefeuille analysé s’élève à 0,2% pour le périmètre restreint constituéuniquement des entreprises cotées (actions et obligations hors obligations vertes), soit0,08% du total des actifs cotés (estimation).",0.08,%,Percentage %,TRUE
Malakkof Humanis,Finance,,,FN-IN-410c.3,27,"La part verte éligible à la taxonomie du portefeuille analysé s’élève à 32,6% pour le périmètre restreint constitué uniquement des entreprises cotées (actions et obligationshors obligations vertes), soit 17,3% sur le total des actifs cotés.",32.6,%,Percentage %,TRUE
Malakkof Humanis,Finance,,,FN-IN-410c.3,27,"Fin 2021, cet indicateur était uniquement évalué en intégrant les titres souverains et lesobligations vertes dans le périmètre de calcul, soit 13,8%",13.8,%,Percentage %,TRUE
Malakkof Humanis,Finance,,,FN-IN-410c.3,27,"La part des expositions sur les activités économiques éligibles à la taxonomie selonl’évaluation réalisée par Sustainalytics s’élève à 2,88%.",2.88,%,Percentage %,TRUE
Malakkof Humanis,Finance,,,FN-IN-410c.4,28,"Plus précisément, la “part verte CIA” représente la part de CA générée par lesactivités suivantes :Part des revenus provenant des énergies renouvelables dans le mix de productiond’électricité ;Part des revenus provenant de la vente de véhicules électriques ;Part des revenus provenant de la vente d’équipements utilisés pour la productiond’électricité renouvelable ;Part des revenus provenant des transports « bas carbone » : rail et maritime pour le fret,rail et bus pour le transport de passagers ;Part des revenus provenant de la production de biocarburants ;Part des revenus provenant des énergies renouvelables utilisées pour le chau?age et laclimatisation ;Part des revenus provenant du transport et de la distribution d’électricité sur les réseauxeuropéens et nord-américains.Cet indicateur est uniquement disponible pour les émetteurs catégorisés comme desentreprises par la méthodologie CIA.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410c.3,28,"La part verte CIA du portefeuille analysé s’élève à 6,3 % pour le périmètre restreintconstitué uniquement des entreprises cotées (actions et obligations hors obligationsvertes), soit 3,4% sur le total des actifs cotés (estimation)",6.3,%,Percentage %,TRUE
Malakkof Humanis,Finance,,,FN-IN-410c.3,28,"Fin 2021, cet indicateur avait intégré les entités souveraines et les obligations vertes dansle périmètre de calcul. C’est pourquoi cette part était sous-évaluée à 2,3 %.",2.3,%,Percentage %,TRUE
Malakkof Humanis,Finance,,,FN-IN-410a.2,28,"6.1.1. « Débrunisation »Un engagement de sortie dé?nitive et complète du charbon a été pris par le groupe :il sera e?ectif sur tous les fonds dédiés d’ici ?n 2023, puis sur tous les encours d’ici ?n2024 via une sensibilisation des gérants ou une sortie de certains fonds. Il concerne lesentreprises dont une partie du chi?re d’a?aires est réalisé dans la production de charbon.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410a.2,28,"Une sortie progressive des énergies fossiles non conventionnelles a également étéinitiée :Pour les investissements déjà réalisés (stock actuel), sont exclues d’ici ?n 2023 lesentreprises qui réalisent plus de 20% de leur production dans les énergies fossiles nonconventionnelles.Pour les nouveaux investissements (c’est-à-dire les ?ux futurs), les gérants ne pourrontplus investir dans les entreprises qui réalisent plus de 10% de leur production dans lesénergies fossiles non conventionnelles dès ?n 2023.Une sortie dé?nitive des énergies fossiles non conventionnelles est programmée d’ici2030.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410a.2,29,"6.1.2. « Verdissement »Une ré?exion a été initiée sur la caractérisation d’investissements contribuant positivementà la transition écologique et énergétique. Les objectifs d’investissement ont ainsi étédé?nis, en faveur d’investissements à additionnalité environnementale forte (Private Equityet dette privée à objectif environnemental, Immobilier, Infrastructures liées à la transitionénergétique, Finance solidaire…)11.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410a.2,29,"6.1.3. Intégration de l’empreinte carbone de ?n 2022 dans la dé?nition de latrajectoire de décarbonationLe groupe Malako? Humanis s’est engagé à réduire de 50 % les émissions de gaz à e?etde serre de ses investissements d’ici 2030.Le cadre opérationnel qui sera appliqué pour atteindre cet objectif est en cours de miseen œuvre. Certains jalons sont désormais ?xés et nécessiteront une revue annualisée, a?nd’intégrer les évolutions méthodologiques et l’extension du périmètre couvert.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410a.2,30,"Il s’agit de mettre en place un tableau de bord climat, avec des indicateurs portant aussibien sur les émissions de CO2 passées des entreprises, qu’une évaluation prospective deleur capacité à réduire leur empreinte carbone dans les prochaines années.Les investissements générant le plus d’émissions de CO2 au sein du portefeuille font l’objetd’une analyse spéci?que, destinée à évaluer leurs propres engagements en matièrede réduction de leur empreinte carbone : objectifs de réduction de chaque entreprise,analyse de la robustesse des engagements pris par la dé?nition d’un score de crédibilité,comparaison de leur trajectoire de décarbonation par rapport aux enjeux de réduction dusecteur d’activité (scénarios AIE).Les indicateurs utilisés pour l’évaluation des trajectoires carbone des entreprisesse basent sur les données issues de Carbon4 Finance et MSCI, ainsi que sur lesengagements validés dans le cadre de l’initiative « Science Based Targets ».",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410c.3,30,"L’analyse a été réalisée sur un périmètre consolidé de 26,5 milliards d’euros. Ellea permis de couvrir 97,5 % selon la méthodologie « Carbon Impact Analytics » deCarbon4 Finance.",97.5,%,Percentage %,TRUE
Malakkof Humanis,Finance,,,FN-IN-410c.4,30,"Cette méthode inclut les éléments suivants :L’ensemble de la chaîne de valeur est analysé, soit la couverture des scope 1(émissions directes), 2 (émissions indirectes associées à l’énergie consommée) et 3(autres émissions indirectes) ;L’analyse est réalisée selon une approche ascendante qui permet d’intégrer uneanalyse qualitative des résultats obtenus ;L’évaluation des émissions économisées permet une analyse plus granulaire del’empreinte carbone ; elle prend en compte :- Les émissions évitées (comparées avec un scénario de référence type AIE 2 °C)- Les émissions réduites (basées sur l’e?cacité du processus sur une longue période)L’analyse inclut également une dimension prospective qui permet de comparer latrajectoire des actifs aux scénarios 2 °C et aux références sectorielles.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,"Absolute gross financed emissions,
disaggregated by (1) Scope 1, (2) Scope 2
and (3) Scope 3",FN-IN-410c.1,31,"Les émissions induites totales (Scopes 1, 2 et 3) du portefeuille analysé s’élèvent à 3,472 millions de tonnes de CO212, tandis que les émissions économisées totales s’élèvent à – 321 541 tonnes de CO2.","3,472 millions ",tonnes de CO2,tonnes de CO2,TRUE
Malakkof Humanis,Finance,,,FN-IN-410c.2,31,"Mesure de l’intensité carbone du portefeuille consolidé (scopes 1, 2 et 3) comparée à l’intensité économisée totaleDé?nition : L’intensité carbone d’un portefeuille est le rapport des émissions de CO2 (ici exprimées en tonnes de CO2 équivalent) aux actifs en portefeuille (ici exprimées enmillions d’euros investis). L’intensité économisée est le rapport des émissions évitées et des émissions réduites aux actifs du portefeuille.",N/A,N/A,"Presentation
currency",FALSE
Malakkof Humanis,Finance,,,FN-IN-410c.1,32,"L’intensité carbone induite du portefeuille est passée de 144 tonnes de CO2 par milliond’euros investis ?n 2021 à 134 tonnes de CO2 par million d’euros ?n 2022. Elle resteinférieure à l’indice de référence composite, qui s’élève à 158 tCO2/M€.",134,tonnes de CO2,tonnes de CO2,TRUE
Malakkof Humanis,Finance,,,FN-IN-410c.4,34,"Les émissions absolues de gaz à e?et de serre liées aux investissements immobilierspermettent d’avoir un premier niveau d’information. Elles correspondent à la somme desémissions estimées des bâtiments, réparties en fonction de la part de détention. Cettedonnée reste cependant une approximation. En 2022, ces émissions totales s’élevaient à18 705,8 tnCO2e/an15.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410c.4,34,"L’indicateur d’intensité carbone par capital employé apporte une comparabilité parrapport à l’indice de référence. Il mesure l’e?cacité carbone d’un portefeuille, dé?nicomme les émissions absolues de gaz à e?et de serre du portefeuille par million dedollars de capital employé moyen.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410c.4,35,"6.2.1. Cadre méthodologique globalMalako? Humanis a entrepris un exercice de modélisation de la trajectoire climatique deses investissements dans les entreprises cotées, a?n d’identi?er les di?érents objectifssous-jacents intermédiaires permettant d’atteindre son engagement de décarbonationaligné avec l’Accord de Paris.Ce travail est réalisé en prenant l’indicateur d’intensité carbone scopes 1, 2 et 3 ; il estainsi mesuré en tonnes de CO2 par million d’euros investis.Le périmètre d’analyse retenu porte sur les entreprises cotées (que ce soit par la détentiond’actions ou par la souscription à des obligations d’entreprises) couvertes par Carbon4Finance. Cela représente des actifs d’environ 14 milliards d’euros.Pour les entreprises non cotées, un projet de collecte de données est en cours, a?n depouvoir élargir progressivement le périmètre d’analyse couvert",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410c.4,35,"Le cadre méthodologique établi pour la modélisation de la trajectoire des émissionsde CO2 se décompose en plusieurs étapes :1/ L’évaluation de la contribution des politiques de sortie du charbon et de réduction desinvestissements dans les énergies fossiles non conventionnelles, dans la dynamique dedécarbonation des portefeuilles. Le suivi des réductions des émissions de CO2 liées à la« débrunisation » des investissements servira de support aux prochaines dé?nitions depolitiques sectorielles.2/ La projection de la décarbonation associée aux réductions d’émissions de CO2réalisées par les entreprises détenues. Cet e?ort de décarbonation constitue le levierprincipal, dans la mesure où il détermine la transition énergétique de l’économie réelle.C’est pourquoi un important travail d’estimation a été réalisé : il constituera le socle desengagements qui seront menés par la suite par le groupe, auprès des entreprises lesplus émettrices de CO2 au sein de ses investissements.Il s’agit désormais de dé?nir des objectifs de réduction de l’intensité carbone desdi?érents fonds dédiés, liés à l’e?et de sélection des titres par les gérants.3/ Les réductions envisagées dans le cadre de la sélection des titres par les gérants. Cesestimations guideront les futurs critères climatiques qui seront intégrés dans le cahierdes charges des fonds dédiés.4/ Les perspectives de réduction de l’intensité carbone induites par les objectifsd’évolution de l’allocation et la hausse des investissements alignés avec la taxonomieverte. Des ré?exions sont en cours dans ce domaine.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410c.4,36,"Les données, mesurées en intensité carbone scopes 1, 2 et 3 sont issues de Carbon4 Finance.Une extrapolation entre 2019 et 2021 a permis d’estimer la décarbonation historique duportefeuilleLes premiers résultats obtenus dans le cadre de cet exercice de modélisation ont permisde cibler un e?ort de décarbonation compris entre - 15 % et – 25 % à horizon 2025. Cetobjectif sera précisé dans le cadre des études qui sont en cours. En 2023, une granularitéplus importante sera apportée sur la trajectoire de décarbonation envisagée, intégrantune déclinaison par classe d’actifs et par année.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410a.2,45,"8.1. Travail d’identi?cation des risques de durabilitéLe risque de durabilité est identi?é et intégré dans la cartographie des risques majeurs duGroupe Malako? Humanis. Il est suivi au sein de la Direction des Risques du Groupe et un« Risk Owner » a été identi?é pour le suivi et la maitrise du risque de durabilité. Une revueet une nouvelle évaluation sont réalisées annuellement comme l’ensemble des risquesmajeurs du Groupe.Le risque de durabilité a été identi?é comme un événement ou un état de fait dans ledomaine environnemental, social ou de la gouvernance qui, s’il survenait, pourrait avoirune incidence négative réelle ou potentielle sur la valeur de l’investissement ou del’engagement.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410a.2,45,"Il se décline en trois sous risques :Le risque environnemental qui consiste en un risque physique et un risque de transitionLe risque social en lien avec les droits, le bien-être et les intérêts des personnes et descommunautés. Ces derniers se mesurent à l’aune de facteurs tels que l'(in)égalité, lasanté, l'inclusion, les relations de travail ou encore la sécurité au travail.Le risque lié à la gouvernance et la stratégie en lien avec les pratiques de gouvernance.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410a.2,45,Les moyens de maitrise identi?és sont portés par la politique et les enjeux RSE qui ontété dé?nis au sein du Groupe ainsi que les travaux réalisés sur les investissements. Desindicateurs de suivi des risques sont par ailleurs suivis périodiquement ainsi que les plansd’actions associés.,N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410a.2,45,"Ainsi, un travail commun entre la direction des risques et la direction des investissementsa permis de répertorier, d’évaluer et de prioriser les principaux risques de durabilitésauxquels les investissements peuvent être exposés.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410a.2,45,"Une estimation du coût potentiel généré par ces risques, dans di?érentes temporalitéset en fonction de plusieurs scénarii de réchau?ement climatique, est présentée dans lerapport ORSA du groupe. Les risques physiques et les risques de transition font l’objet d’unsuivi spéci?que en fonction des classes d’actifs.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410a.2,45,"Les risques physiques décrivent les impacts ?nanciers potentiels résultant desphénomènes météorologiques extrêmes liés au changement climatique (hausse enintensité et en fréquence des catastrophes naturelles), ainsi que des modi?cationstendancielles du climat à long terme (modi?cations des températures moyennes et desprécipitations, hausse du niveau des mers, variabilité météorologique extrême, etc.).Dans le cadre de l’étude réalisée, l’évaluation du portefeuille consolidé a consisté àexaminer la vulnérabilité des actifs du portefeuille à ces phénomènes extrêmes etmodi?cations tendancielles du climat.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410a.2,46,"Les risques de transition désignent les impacts ?nanciers liés au processus d’ajustementvers une économie bas-carbone. Les risques de transition sont actuels dans la mesureoù ils se sont déjà matérialisés par le passé - notamment la dépréciation d’actifs fossiles(“actifs échoués”) - et que d’autres commencent à se matérialiser -changements decomportement des consommateurs, transition vers des technologies bas-carbone,évolutions réglementaires de plus en plus ambitieuses.La probabilité d’occurrence des risques de transition est non négligeable, et l’horizon detemps est moyen terme (e.g., l’objectif de réduction de 55% des émissions de l’UE à horizon2030, ou l’interdiction de la vente de voitures thermiques en Europe à horizon 2035)",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410a.2,46,"Ils peuvent être classés en quatre catégories :Les risques politiques et légaux sont caractérisés par une évolution des politiquespubliques et de la législation qui entraînent une transformation nécessaire des modèlesd’a?aires (augmentation du prix du carbone, quotas d’émission, etc.) ;Les risques technologiques tiennent principalement à une substitution des produitsexistants par des produits moins carbonés ;Les risques de marché correspondent aux ?uctuations causées indirectement parle changement climatique, tels que l’augmentation du coût de certaines matièrespremières, une instabilité de long terme des marchés ?nanciers causée par l’incertitudeentourant les risques physiques, etc ;Les risques de réputation sont liés à des changements de préférences desconsommateurs liés à la montée en puissance des questions relatives au changementclimatique dans le débat public.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410a.2,46,"Au niveau des actifs cotés, les risques physiques sont évalués en utilisant la note CRIS(« Carbon Risk Impact Screening ») de Carbon4Finance23 : basée sur les segmentationsgéographiques et sectorielles des investissements, elle permet d’analyser la vulnérabilitéphysique du portefeuille face aux aléas liés au changements climatiques.En se basant sur trois scénarios du GIEC (risque faible, modéré et élevé), les projectionssont réalisées à horizon 2050 et 2100.L’exposition et la vulnérabilité des actifs et du portefeuille sont traduites par un scorede risque global (correspondant à une notation multirisques à l’horizon 2050, avec unscénario d’émission intermédiaire), de 1 à 99, 1 étant le plus faible, ainsi que par uneanalyse de sensibilité du score global selon trois scénarios et deux horizons temporels.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410a.2,47,"MÉTHODOLOGIEDeux horizons de temps sont considérés sur la base des projections du GIEC :milieu du siècle (2050), ?n du siècle (2100);Trois scénarios sont envisagés, sur la base des modélisations du GIEC :- Scénario à faibles émissions, trajectoire inférieure à 3 °C en 2100, cohérent avecles scénarios RCP 4.5 et SRES B1 ;- Scénario d’émissions moyennes, trajectoire supérieure à 3 °C en 2100, conformeaux scénarios RCP 6.0 et SRES A1B ;- Scénario à fortes émissions, trajectoire supérieure à 4 °C en 2100, conforme auxscénarios RCP 8.5 et SRES A2.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410a.2,48,"Les risques physiques susceptibles d’avoir un impact sur les investissements sontprincipalement liés au changement en fréquence et en intensité des sécheressesextrêmes, des canicules, des précipitations extrêmes, du niveau de la mer et destempêtes.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410a.2,48,"Les risques de transition liés au changement climatique sont estimés via le calcul del’intensité carbone des investissements et de leur contribution à la transition énergétiqueet écologique, selon la méthodologie Carbon Impact Analytics de Carbon4 Finance24.Plus l’empreinte carbone de ces investissements est importante, plus les risques detransition sont élevés.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410c.2,48,Le secteur manufacturier ainsi que les activités ?nancières et d’assurance contribuentsigni?cativement aux émissions induites du portefeuille : cette importante contributions’explique par le poids de ces secteurs dans les investissements.,N/A,N/A,,FALSE
Malakkof Humanis,Finance,,,FN-IN-410c.3,48,"En revanche, bien que représentant moins de 5% des investissements, les industriesextractives participent à près de 20% des émissions induites. Les principaux secteurscontribuant aux émissions économisées25 dans le portefeuille sont l’électricité et le gaz, lesecteur manufacturier, les activités ?nancières et d’assurance.",N/A,N/A,Percentage %,FALSE
Malakkof Humanis,Finance,,,FN-IN-410a.2,49,"Au niveau des investissements immobiliers, les risques physiques et risques de transitionsont évalués en utilisant la « Climate Value-at-Risk », développée par MSCI. Cetteméthode évalue les risques de dévalorisation exprimés en pourcentage de la valeur encapital des investissements immobiliers, en se basant sur une trajectoire de réchau?ementclimatique dans un scénario basé sur le statut quo (« business-as-usual »).Ce modèle permet d’envisager les tendances d’évolution d’ici 2100 des événementsextrêmes (canicules, froids extrêmes, inondations costales et ?uviales, cyclones tropicaux)et leurs incidences sur les bâtiments. De même, les risques de transition liés auxévolutions réglementaires et politiques sont estimés en fonction de l’intensité carbonede ces bâtiments : la modélisation d’un prix futur du CO2 permet de calculer un coûtpotentiel déduit de leur valorisationFin 2022, cette estimation a été réalisée sur 97 % de la valeur des investissementsimmobiliers de Malako? Humanis26 .",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410a.2,49,"Evaluation des risques physiques, de transition dans le Private Equityet la Dette Privée.A?n de compléter l’évaluation des risques de durabilité encourus par les di?érentesclasses d’actifs de son portefeuille, Malako? Humanis a initié ?n 2022 une démarched’estimation des émissions de CO2 induites par ses investissements non cotés. Ce travailfera l’objet d’un compte-rendu et d’un suivi à partir de 2023.",N/A,N/A,N/A,TRUE
